Timestamp, Temperature (ºC), Error,  Output power (W), PWM output, Current, PWM / Current
18:37:21.529 -> 31.76, -1.76, -31.04, 0, -0.00, 0.00
18:37:22.540 -> 31.76, -1.76, -31.03, 0, 0.04, 0.00
18:37:23.582 -> 31.76, -1.76, -31.02, 0, -0.00, 0.00
18:37:24.596 -> 31.76, -1.76, -31.02, 0, -0.00, 0.00
18:37:25.611 -> 31.76, -1.76, -31.01, 0, -0.00, 0.00
18:37:26.626 -> 31.76, -1.76, -31.00, 0, -0.00, 0.00
18:37:27.672 -> 31.76, -1.76, -30.99, 0, 0.04, 0.00
18:37:28.686 -> 31.76, -1.76, -30.99, 0, -0.00, 0.00
18:37:29.701 -> 31.76, -1.76, -30.98, 0, -0.00, 0.00
18:37:30.716 -> 31.76, -1.76, -30.97, 0, -0.00, 0.00
18:37:32.330 -> 31.76, -1.76, -30.97, 0, -0.00, 0.00
18:37:42.362 -> 31.76, -1.76, -30.96, 0, -0.00, 0.00
18:37:42.362 -> 31.76, -1.76, -30.95, 0, -0.00, 0.00
18:37:42.362 -> 31.76, -1.76, -30.95, 0, -0.00, 0.00
18:37:42.362 -> 31.76, -1.76, -30.94, 0, -0.00, 0.00
18:37:42.362 -> 31.76, -1.76, -30.93, 0, -0.00, 0.00
18:37:42.362 -> 31.76, -1.76, -30.92, 0, -0.00, 0.00
18:37:42.362 -> 31.76, -1.76, -30.92, 0, 0.04, 0.00
18:37:42.362 -> 31.76, -1.76, -30.91, 0, -0.00, 0.00
18:37:42.362 -> 31.76, -1.76, -30.90, 0, -0.00, 0.00
18:37:42.362 -> 31.76, -1.76, -30.90, 0, -0.00, 0.00
18:37:52.396 -> 31.76, -1.76, -30.89, 0, -0.00, 0.00
18:37:52.396 -> 31.76, -1.76, -30.88, 0, -0.00, 0.00
18:37:52.396 -> 31.76, -1.76, -30.88, 0, -0.00, 0.00
18:37:52.396 -> 31.76, -1.76, -30.87, 0, -0.00, 0.00
18:37:52.396 -> 31.75, -1.75, -30.53, 0, -0.00, 0.00
18:37:52.396 -> 31.75, -1.75, -30.73, 0, 0.04, 0.00
18:37:52.396 -> 31.74, -1.74, -30.53, 0, -0.00, 0.00
18:37:52.396 -> 31.75, -1.75, -30.66, 0, -0.00, 0.00
18:37:52.396 -> 31.73, -1.73, -30.13, 0, -0.00, 0.00
18:37:52.396 -> 31.73, -1.73, -30.38, 0, -0.00, 0.00
18:38:02.429 -> 31.73, -1.73, -30.43, 0, -0.00, 0.00
18:38:02.429 -> 31.72, -1.72, -29.98, 0, -0.00, 0.00
18:38:02.429 -> 31.72, -1.72, -30.12, 0, -0.00, 0.00
18:38:02.429 -> 31.72, -1.72, -30.20, 0, -0.00, 0.00
18:38:02.429 -> 31.71, -1.71, -29.84, 0, -0.00, 0.00
18:38:02.429 -> 31.69, -1.69, -29.29, 0, -0.00, 0.00
18:38:02.429 -> 31.69, -1.69, -29.60, 0, -0.00, 0.00
18:38:02.429 -> 31.69, -1.69, -29.48, 0, -0.00, 0.00
18:38:02.429 -> 31.67, -1.67, -29.02, 0, 0.04, 0.00
18:38:12.463 -> 31.66, -1.66, -28.94, 0, -0.00, 0.00
18:38:12.463 -> 31.67, -1.67, -29.27, 0, -0.00, 0.00
18:38:12.463 -> 31.68, -1.68, -29.33, 0, -0.00, 0.00
18:38:12.463 -> 31.66, -1.66, -28.86, 0, -0.00, 0.00
18:38:12.463 -> 31.66, -1.66, -29.00, 0, -0.00, 0.00
18:38:12.463 -> 31.66, -1.66, -28.99, 0, -0.00, 0.00
18:38:12.463 -> 31.66, -1.66, -28.99, 0, 0.04, 0.00
18:38:12.463 -> 31.66, -1.66, -28.98, 0, -0.00, 0.00
18:38:12.463 -> 31.66, -1.66, -28.97, 0, -0.00, 0.00
18:38:12.463 -> 31.66, -1.66, -28.97, 0, -0.00, 0.00
18:38:22.497 -> 31.66, -1.66, -28.96, 0, -0.00, 0.00
18:38:22.497 -> 31.66, -1.66, -28.95, 0, -0.00, 0.00
18:38:22.497 -> 31.66, -1.66, -28.95, 0, -0.00, 0.00
18:38:22.497 -> 31.66, -1.66, -28.94, 0, 0.04, 0.00
18:38:22.497 -> 31.66, -1.66, -28.93, 0, -0.00, 0.00
18:38:22.497 -> 31.66, -1.66, -28.93, 0, -0.00, 0.00
18:38:22.497 -> 31.66, -1.66, -28.92, 0, -0.00, 0.00
18:38:22.497 -> 31.66, -1.66, -28.91, 0, -0.00, 0.00
18:38:22.497 -> 31.66, -1.66, -28.83, 0, 0.04, 0.00
18:38:22.497 -> 31.65, -1.65, -28.69, 0, -0.00, 0.00
18:38:32.530 -> 31.65, -1.65, -28.74, 0, -0.00, 0.00
18:38:32.530 -> 31.66, -1.66, -28.98, 0, -0.00, 0.00
18:38:32.530 -> 31.62, -1.62, -27.82, 0, -0.00, 0.00
18:38:32.530 -> 31.62, -1.62, -28.11, 0, -0.00, 0.00
18:38:32.530 -> 31.61, -1.61, -27.89, 0, -0.00, 0.00
18:38:32.530 -> 31.62, -1.62, -28.05, 0, -0.00, 0.00
18:38:32.530 -> 31.60, -1.60, -27.69, 0, -0.00, 0.00
18:38:32.530 -> 31.57, -1.57, -26.74, 0, -0.00, 0.00
18:38:32.530 -> 31.57, -1.57, -27.12, 0, -0.00, 0.00
18:38:32.530 -> 31.57, -1.57, -27.19, 0, -0.00, 0.00
18:38:43.072 -> 31.57, -1.57, -27.07, 0, -0.00, 0.00
18:38:43.072 -> 31.57, -1.57, -27.10, 0, -0.00, 0.00
18:38:43.072 -> 31.57, -1.57, -27.09, 0, -0.00, 0.00
18:38:43.072 -> 31.57, -1.57, -27.08, 0, -0.00, 0.00
18:38:43.072 -> 31.57, -1.57, -27.08, 0, -0.00, 0.00
18:38:43.072 -> 31.57, -1.57, -27.07, 0, -0.00, 0.00
18:38:43.072 -> 31.57, -1.57, -27.07, 0, -0.00, 0.00
18:38:43.072 -> 31.57, -1.57, -27.06, 0, -0.00, 0.00
18:38:43.072 -> 31.57, -1.57, -27.05, 0, -0.00, 0.00
