// action matrix for training simulation 11_20200820-093404
const unsigned char q_actions[174] = {0, 254, 234, 0, 227, 246, 0, 252, 252, 0, 227, 250, 0, 252, 231, 0, 238, 238, 0, 234, 234, 0, 237, 237, 0, 230, 230, 0, 234, 234, 0, 91, 243, 0, 39, 39, 0, 86, 86, 0, 187, 54, 0, 225, 239, 0, 235, 240, 0, 203, 66, 0, 145, 39, 0, 193, 192, 0, 53, 125, 0, 96, 183, 0, 15, 240, 0, 116, 92, 0, 160, 196, 0, 214, 55, 0, 109, 119, 0, 29, 14, 0, 98, 152, 0, 63, 31, 0, 224, 148, 0, 170, 206, 0, 198, 254, 0, 249, 252, 0, 201, 190, 0, 166, 155, 0, 115, 108, 0, 122, 30, 0, 245, 66, 0, 14, 42, 0, 239, 175, 0, 37, 199, 0, 0, 147, 0, 151, 144, 0, 181, 203, 0, 18, 5, 0, 116, 174, 0, 10, 160, 0, 29, 159, 0, 159, 214, 0, 159, 57, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1};


Timestamp, Temperature (ºC), Setpoint, Error, Delta_T, State, PWM output, Current, PWM / Current
10:35:30.830, 28.56, 27.69, 0.87, 0.00, 178, 0, -0.00, 0.00
10:35:31.845, 28.56, 27.69, 0.87, 0.00, 178, 0, -0.00, 0.00
10:35:32.876, 28.56, 27.69, 0.87, 0.00, 178, 0, 0.04, 0.00
10:35:33.888, 28.56, 27.69, 0.87, 0.00, 178, 0, -0.00, 0.00
10:35:34.917, 28.56, 27.69, 0.87, 0.00, 178, 0, -0.00, 0.00
10:35:35.937, 28.56, 27.69, 0.87, 0.00, 178, 0, -0.00, 0.00
10:35:36.964, 28.56, 27.69, 0.87, 0.00, 178, 0, 0.04, 0.00
10:35:37.986, 28.56, 27.69, 0.87, 0.00, 178, 0, -0.00, 0.00
10:35:39.005, 28.56, 27.69, 0.87, 0.00, 178, 0, -0.00, 0.00
10:35:40.031, 28.65, 27.69, 0.96, 0.09, 182, 0, -0.00, 0.00
10:35:41.078, 28.56, 27.69, 0.87, -0.09, 177, 0, -0.00, 0.00
10:35:42.072, 28.65, 27.69, 0.96, 0.09, 182, 0, -0.00, 0.00
10:35:43.117, 28.65, 27.69, 0.96, 0.00, 181, 0, -0.00, 0.00
10:35:44.155, 28.65, 27.69, 0.96, 0.00, 181, 0, -0.00, 0.00
10:35:45.158, 28.65, 27.69, 0.96, 0.00, 181, 0, -0.00, 0.00
10:35:46.188, 28.65, 27.69, 0.96, 0.00, 181, 0, -0.00, 0.00
10:35:47.205, 28.65, 27.69, 0.96, 0.00, 181, 0, -0.00, 0.00
10:35:48.218, 28.65, 27.69, 0.96, 0.00, 181, 0, -0.00, 0.00
10:35:49.238, 28.65, 27.69, 0.96, 0.00, 181, 0, -0.00, 0.00
10:35:50.279, 28.65, 27.69, 0.96, 0.00, 181, 0, -0.00, 0.00
10:35:51.309, 28.65, 27.69, 0.96, 0.00, 181, 0, -0.00, 0.00
10:35:52.326, 28.75, 27.69, 1.06, 0.09, 185, 0, -0.00, 0.00
10:35:53.358, 28.65, 27.69, 0.96, -0.09, 180, 0, -0.00, 0.00
10:35:54.369, 28.65, 27.69, 0.96, 0.00, 181, 0, -0.00, 0.00
10:35:55.381, 28.65, 27.69, 0.96, 0.00, 181, 0, -0.00, 0.00
10:35:56.426, 28.75, 27.69, 1.06, 0.09, 185, 0, 0.04, 0.00
10:35:57.420, 28.75, 27.69, 1.06, 0.00, 184, 0, -0.00, 0.00
10:35:58.463, 28.75, 27.69, 1.06, 0.00, 184, 0, -0.00, 0.00
10:35:59.482, 28.75, 27.69, 1.06, 0.00, 184, 0, -0.00, 0.00
10:36:00.508, 28.75, 27.69, 1.06, 0.00, 184, 0, 0.04, 0.00
10:36:01.548, 28.75, 27.69, 1.06, 0.00, 184, 0, -0.00, 0.00
10:36:02.547, 28.75, 27.69, 1.06, 0.00, 184, 0, -0.00, 0.00
10:36:03.581, 28.75, 27.69, 1.06, 0.00, 184, 0, 0.04, 0.00
10:36:04.581, 28.75, 27.69, 1.06, 0.00, 184, 0, -0.00, 0.00
10:36:05.620, 28.75, 27.69, 1.06, 0.00, 184, 0, -0.00, 0.00
10:36:06.648, 28.75, 27.69, 1.06, 0.00, 184, 0, -0.00, 0.00
10:36:07.659, 28.75, 27.69, 1.06, 0.00, 184, 0, -0.00, 0.00
10:36:08.692, 28.75, 27.69, 1.06, 0.00, 184, 0, -0.00, 0.00
10:36:09.712, 28.84, 27.69, 1.15, 0.09, 185, 0, -0.00, 0.00
10:36:10.724, 28.75, 27.69, 1.06, -0.09, 183, 0, -0.00, 0.00
10:36:11.777, 28.84, 27.69, 1.15, 0.09, 185, 0, -0.00, 0.00
10:36:12.784, 28.84, 27.69, 1.15, 0.00, 184, 0, 0.04, 0.00
10:36:13.790, 28.84, 27.69, 1.15, 0.00, 184, 0, -0.00, 0.00
10:36:14.835, 28.84, 27.69, 1.15, 0.00, 184, 0, -0.00, 0.00
10:36:15.838, 28.84, 27.69, 1.15, 0.00, 184, 0, 0.04, 0.00
10:36:16.868, 28.84, 27.69, 1.15, 0.00, 184, 0, -0.00, 0.00
10:36:17.905, 28.84, 27.69, 1.15, 0.00, 184, 0, -0.00, 0.00
10:36:18.939, 28.84, 27.69, 1.15, 0.00, 184, 0, -0.00, 0.00
10:36:19.952, 28.84, 27.69, 1.15, 0.00, 184, 0, 0.04, 0.00
10:36:20.976, 28.84, 27.69, 1.15, 0.00, 184, 0, -0.00, 0.00
10:36:22.005, 28.84, 27.69, 1.15, 0.00, 184, 0, -0.00, 0.00
10:36:23.016, 28.84, 27.69, 1.15, 0.00, 184, 0, -0.00, 0.00
10:36:24.047, 28.84, 27.69, 1.15, 0.00, 184, 0, -0.00, 0.00
10:36:25.071, 28.84, 27.69, 1.15, 0.00, 184, 0, 0.04, 0.00
10:36:26.103, 28.84, 27.69, 1.15, 0.00, 184, 0, -0.00, 0.00
10:36:27.091, 28.84, 27.69, 1.15, 0.00, 184, 0, -0.00, 0.00
10:36:28.133, 28.84, 27.69, 1.15, 0.00, 184, 0, -0.00, 0.00
10:36:29.169, 28.84, 27.69, 1.15, 0.00, 184, 0, -0.00, 0.00
10:36:30.194, 28.84, 27.69, 1.15, 0.00, 184, 0, -0.00, 0.00
